	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_379	13	19.00860074	417	0.036810044	0.001114827	0.666666667
OTU_381	3	0.648344828	13	0.009728618	0.00097371	0.666666667
OTU_386	7	2.920505603	50	0.026737966	0.001108647	0.666666667
OTU_388	2	0	0	0.020173392	0.001033058	1
OTU_394	25	41.66189039	1482	0.160501397	0.001256281	0.653333333
OTU_404	19	17.47140832	701	0.061320485	0.001158749	0.766081871
OTU_406	2	0.101010101	2	0.010150763	0.000925069	0
OTU_413	53	779.4935064	25558	0.147272249	0.001230012	0.502902758
OTU_414	31	219.9155228	5537	0.070438817	0.001207729	0.574193548
OTU_419	8	3.094428679	81	0.042416379	0.00110742	0.75
OTU_424	14	0.845050783	13	0.01508691	0.000960615	0.89010989
OTU_432	46	305.5765183	8471	0.199256884	0.001270648	0.573913043
OTU_438	85	316.5700109	18801	0.882579783	0.001445087	0.577871148
OTU_447	20	31.76780258	964	0.048081876	0.001172333	0.715789474
OTU_448	10	2.099931233	119	0.020952495	0.001	0.866666667
OTU_449	69	203.4887927	8109	0.753243808	0.001335113	0.666240409
OTU_453	50	200.2102015	6472	0.199733675	0.001287001	0.572244898
OTU_462	18	26.19463046	858	0.052165939	0.001213592	0.718954248
OTU_466	30	291.9483245	7737	0.304068451	0.001233046	0.586206897
OTU_468	46	908.6437614	23997	0.072327427	0.001270648	0.391304348
OTU_474	47	530.9132636	14168	0.114737805	0.001310616	0.400555042
OTU_476	17	22.77504635	722	0.056219345	0.001194743	0.654411765
OTU_481	9	10.21775464	344	0.042813709	0.001118568	0.75
OTU_482	1	0	0	0.006206672	0.000925926	0
OTU_484	3	0.371524692	9	0.010624368	0.001053741	0.666666667
OTU_486	106	1158.870611	41744	0.959120989	0.001515152	0.423360288
OTU_490	12	63.03137231	950	0.031613666	0.001135074	0.46969697
OTU_492	21	4.809543967	288	0.295456921	0.001231527	0.923809524
OTU_495	2	0	0	0.021478362	0.001	1
OTU_498	18	15.66290142	389	0.040432851	0.00110011	0.732026144
OTU_502	17	44.70381804	1142	0.045165615	0.001112347	0.536764706
OTU_503	82	435.2400318	20700	0.838489951	0.001440922	0.56248118
OTU_505	19	2.703752233	176	0.236506614	0.00122399	0.877192982
OTU_506	4	3.210697054	73	0.03509113	0.001119821	0.5
OTU_508	99	649.8198279	28293	0.93644549	0.00148368	0.470006184
OTU_513	6	0.045454545	1	0.013994323	0.000977517	0.933333333
OTU_514	41	167.8586845	6798	0.108953849	0.00120919	0.614634146
OTU_515	3	0	0	0.003374102	0.000884173	1
OTU_522	5	2.771622379	90	0.016375198	0.001074114	0.6
OTU_524	28	38.47661176	1999	0.13006608	0.001222494	0.804232804
OTU_528	23	127.1232214	2273	0.059235842	0.001153403	0.679841897
OTU_543	37	153.177693	4222	0.100547893	0.001196172	0.651651652
OTU_562	57	326.5091986	8992	0.183847609	0.001312336	0.526942356
OTU_563	2	0	0	0.009577041	0.000965251	1
OTU_566	55	1873.150048	34717	0.121133226	0.001345895	0.319191919
OTU_569	4	0	0	0.055239603	0.001031992	1
OTU_570	17	19.28624988	1179	0.028576184	0.001112347	0.823529412
OTU_578	11	8.738602397	409	0.120238865	0.001149425	0.636363636
OTU_579	28	163.8420907	3575	0.078604998	0.001213592	0.579365079
OTU_582	2	0	0	0.003601785	0.000919118	1
OTU_590	54	511.2179251	13494	0.159181351	0.001290323	0.531795947
OTU_611	46	14.48687685	760	0.599456787	0.001246883	0.91884058
OTU_612	75	637.7092138	19043	0.711480687	0.001428571	0.492972973
OTU_614	1	0	0	0.002620764	0.000931099	0
OTU_617	106	1444.377041	39290	0.94790274	0.001517451	0.422461815
OTU_624	4	0	0	0.019237067	0.001011122	1
OTU_627	55	259.9581568	8877	0.17830628	0.001282051	0.539393939
OTU_631	67	140.7681569	5987	0.745890614	0.001342282	0.694708277
OTU_637	18	18.07925586	763	0.095574546	0.001189061	0.725490196
OTU_640	32	106.6008194	3882	0.148975272	0.001272265	0.618951613
OTU_653	11	364.6926294	4997	0.027530326	0.001114827	0.6
OTU_666	3	0	0	0.009979584	0.000948767	1
OTU_674	26	10.54430733	462	0.085231711	0.001126126	0.864615385
OTU_684	6	4.297949676	98	0.049294778	0.001109878	0.6
OTU_686	98	612.6788074	30444	0.935845671	0.001477105	0.476751525
OTU_687	18	32.01853578	1573	0.048241961	0.001173709	0.725490196
OTU_689	1	0	0	0.000536317	0.000755858	0
OTU_692	34	19.43584483	698	0.131899635	0.001164144	0.803921569
OTU_701	5	0	0	0.013602762	0.001027749	1
OTU_702	2	0	0	0.019989457	0.000990099	1
OTU_707	34	231.2755993	7146	0.313223925	0.00130719	0.570409982
OTU_714	1	0	0	0.006206672	0.000925926	0
OTU_715	12	0.087121212	2	0.04426652	0.001017294	0.96969697
OTU_721	3	0	0	0.006611622	0.001008065	1
OTU_737	4	0.639907475	16	0.019014351	0.00106383	0.833333333
OTU_738	8	1.493773708	43	0.023833189	0.00102145	0.75
OTU_742	73	149.8120877	9014	0.793467154	0.001375516	0.645738204
OTU_747	13	15.94920011	675	0.025149778	0.001096491	0.743589744
OTU_756	19	76.27211402	2004	0.105326823	0.001243781	0.573099415
