	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_348	3	0	0	0.051850024	0.001564945	1
OTU_350	60	242.6966395	6760	0.816863965	0.002197802	0.550847458
OTU_358	17	55.9838587	865	0.071902376	0.001769912	0.617647059
OTU_359	27	28.49361617	1185	0.279837179	0.001923077	0.743589744
OTU_363	14	0	0	0.269221406	0.001597444	1
OTU_383	6	2.874129435	49	0.050448325	0.001626016	0.733333333
OTU_384	2	0	0	0.045376463	0.00154321	1
OTU_388	13	0.091097308	3	0.251376698	0.00177305	0.987179487
OTU_390	1	0	0	0.004187711	0.001351351	0
OTU_391	2	0	0	0.03562223	0.001531394	1
OTU_395	48	315.2179179	4734	0.687939163	0.002016129	0.648049645
OTU_397	32	133.982906	4839	0.23336865	0.001890359	0.548387097
OTU_399	22	2.006321131	73	0.394413142	0.001865672	0.935064935
OTU_427	2	0	0	0.002709403	0.001333333	1
OTU_437	5	0	0	0.030179588	0.001438849	1
OTU_444	20	12.92556235	287	0.323572868	0.001779359	0.821052632
OTU_451	28	15.42812344	466	0.464112143	0.001915709	0.796296296
OTU_464	24	8.24095628	311	0.396893045	0.001848429	0.836956522
OTU_479	34	19.12562733	707	0.543912232	0.001937984	0.828877005
OTU_488	46	43.3616838	1858	0.697287263	0.002004008	0.737198068
OTU_499	14	0.273064776	10	0.144840263	0.001748252	0.978021978
OTU_517	13	0.117647059	2	0.232916028	0.001680672	0.974358974
OTU_521	3	0	0	0.055414958	0.001615509	1
OTU_529	5	0	0	0.105241697	0.001564945	1
OTU_536	6	0	0	0.025326926	0.001508296	1
OTU_539	16	2.442666661	57	0.164191809	0.001724138	0.841666667
OTU_553	75	515.8726189	14398	0.882006052	0.002267574	0.408648649
OTU_555	2	0	0	0.036828144	0.001620746	1
OTU_556	38	18.78152869	871	0.629807783	0.002008032	0.862019915
OTU_565	20	9.214460494	274	0.19629708	0.001769912	0.847368421
OTU_574	18	11.05487642	668	0.300220014	0.001848429	0.823529412
OTU_593	3	3.341250698	41	0.023462989	0.001569859	0.333333333
OTU_595	23	3.971843502	329	0.424258643	0.001893939	0.988142292
OTU_608	2	0	0	0.015357921	0.001457726	1
OTU_609	29	6.126861718	418	0.514319249	0.001926782	0.965517241
OTU_634	2	0	0	0.045376463	0.00154321	1
OTU_650	69	510.0668586	13693	0.86014262	0.002277904	0.459931799
OTU_651	10	0	0	0.200885688	0.001592357	1
OTU_663	11	0	0	0.206129806	0.001672241	1
OTU_698	25	5.630574963	247	0.439913098	0.001897533	0.943333333
OTU_712	57	143.6467266	4674	0.755689061	0.002105263	0.562656642
OTU_719	12	0.143728887	3	0.222789394	0.001592357	0.954545455
OTU_744	1	0	0	0.019145053	0.001430615	0
OTU_749	2	0	0	0.03562223	0.001531394	1
OTU_775	1	0	0	0.014565646	0.001438849	0
OTU_783	8	1.926316197	43	0.044838899	0.001605136	0.857142857
OTU_795	33	11.47589021	645	0.565449888	0.001953125	0.897727273
OTU_800	34	9.616224817	547	0.580894061	0.001953125	0.932263815
OTU_806	7	0	0	0.143268991	0.001579779	1
OTU_826	14	0.578810258	27	0.137259999	0.001730104	0.967032967
OTU_875	6	0	0	0.030167243	0.001420455	1
OTU_888	2	0	0	0.041941793	0.001538462	1
OTU_898	46	55.17251231	2300	0.695374189	0.002061856	0.73236715
OTU_919	1	0	0	0.022262498	0.001536098	0
OTU_931	4	0	0	0.087087148	0.001567398	1
OTU_954	22	3.276833632	93	0.2103555	0.00177305	0.87012987
OTU_1009	54	88.79921716	3399	0.765694649	0.002040816	0.631726066
OTU_1056	2	0	0	0.022863224	0.001633987	1
OTU_1060	22	0.04	1	0.406095654	0.001805054	0.995670996
OTU_1075	1	0	0	0.004818354	0.001349528	0
OTU_1108	59	194.3085892	6562	0.790897784	0.002169197	0.565166569
OTU_1113	17	0	0	0.316966161	0.001692047	1
OTU_1129	2	5.012234684	77	0.014978757	0.001443001	0
OTU_1146	11	0	0	0.13042942	0.001666667	1
OTU_1245	37	32.78273294	1457	0.600822716	0.002024291	0.839339339
OTU_1272	33	31.43346753	691	0.270858923	0.001869159	0.683712121
OTU_1284	9	0	0	0.18093509	0.001582278	1
OTU_1316	21	286.9306824	6592	0.077703677	0.001808318	0.371428571
OTU_1321	27	20.58614513	912	0.270443339	0.001908397	0.780626781
OTU_1327	1	0	0	0.018143537	0.001428571	0
OTU_1401	4	0	0	0.073485194	0.001569859	1
OTU_1556	9	0	0	0.180372619	0.001582278	1
OTU_1575	5	0.276129032	3	0.007174246	0.00136612	0.9
OTU_1617	4	0	0	0.027404587	0.001410437	1
OTU_1618	12	0	0	0.23566536	0.001589825	1
OTU_1654	14	65.71110206	1428	0.045381593	0.001639344	0.505494505
OTU_1785	2	0	0	0.044689053	0.001557632	1
OTU_1786	29	10.80972076	544	0.50798952	0.001934236	0.913793103
OTU_1920	7	0	0	0.066587877	0.001577287	1
OTU_1942	13	0	0	0.253470284	0.001766784	1
OTU_2135	2	0	0	0.038342344	0.001550388	1
OTU_2411	1	0	0	0.022426555	0.00154321	0
OTU_2606	2	0	0	0.044689053	0.001557632	1
OTU_2748	2	0	0	0.044689053	0.001557632	1
OTU_2786	10	0	0	0.193666443	0.001592357	1
OTU_2887	14	5.196247777	254	0.185309874	0.001841621	0.912087912
OTU_2961	1	0	0	0.014565646	0.001438849	0
OTU_3482	2	0	0	0.045376463	0.00154321	1
OTU_3763	9	0.886551033	117	0.054399551	0.001510574	0.944444444
OTU_3860	6	0	0	0.054111396	0.001503759	1
OTU_4059	11	47.11502464	733	0.034708673	0.001650165	0.672727273
OTU_4497	1	0	0	0.007434859	0.001358696	0
OTU_4850	15	0.300766987	15	0.171920752	0.001748252	0.961904762
OTU_4949	11	0	0	0.132147605	0.001730104	1
OTU_5092	6	0	0	0.089756166	0.001650165	1
OTU_5152	6	7.544033518	231	0.024041006	0.001564945	0.6
OTU_5314	1	0	0	0.022879107	0.001529052	0
OTU_5517	1	0	0	0.022879107	0.001529052	0
OTU_6514	4	0	0	0.023778921	0.001402525	1
OTU_7207	7	7.9192344	182	0.035234167	0.001602564	0.714285714
OTU_7300	4	0	0	0.009124913	0.001297017	1
OTU_7307	10	0	0	0.119553021	0.00166113	1
OTU_7323	1	0	0	0.018143537	0.001428571	0
OTU_7384	2	0	0	0.005548244	0.001349528	1
OTU_7409	3	0	0	0.058021958	0.001567398	1
OTU_7508	2	0	0	0.030375372	0.001402525	1
OTU_9096	1	0	0	0.00804302	0.00137741	0
OTU_9436	1	0	0	0.001739051	0.001218027	0
OTU_9600	19	1.808844172	60	0.200361838	0.001769912	0.906432749
OTU_10063	2	0	0	0.038342344	0.001550388	1
OTU_10121	11	0.330566907	14	0.125907627	0.001675042	0.963636364
OTU_10252	2	0	0	0.006434671	0.001345895	1
OTU_10539	1	0	0	0.00414176	0.00129199	0
OTU_12848	5	0	0	0.009785976	0.001302083	1
OTU_12865	9	33.30693944	563	0.028893716	0.001584786	0.666666667
OTU_13477	6	1.161971823	22	0.013973687	0.00147929	0.933333333
OTU_17429	3	0	0	0.008086623	0.001295337	1
OTU_17995	1	0	0	0.009204414	0.001367989	0
OTU_20466	9	0	0	0.061320552	0.001594896	1
OTU_25720	17	15.81136491	416	0.153406827	0.001805054	0.838235294
OTU_25744	4	0	0	0.065528016	0.001569859	1
OTU_25802	6	0	0	0.035810222	0.001381215	1
